"species","archetype","Archetype_1","Archetype_2","Archetype_3","Age.at.maturation","Fecundity","K.value","Life.span","Max.total.length","Offspring.size","Parental.care","strategies"
"Aaptosyax_grypus",2,0.140126262512749,0.73660306337153,0.123344292873164,0.715451114234345,9.09677566097731,-2.65926003693278,1.93178164005969,5.06638534766229,0.480577184789689,1,"Periodic"
"Abactochromis_labrosus",1,0.705167849057364,0.0973134632199977,0.19746835603243,0.0628152540403763,5.3817744528986,-0.186329598673421,1.70747797906805,2.64119787486989,0.729517646191126,3,"Equilibrium"
"Abbottina_liaoningensis",3,0.263888405285261,0.2767658045584,0.459345954122711,0.203674867596666,7.12258308291143,-0.430782953015532,1.06331383488227,2.08567211515718,0.320471718339272,2,"Opportunistic"
"Abbottina_obtusirostris",3,0.280986980578256,0.289351414574422,0.42966272178588,0,7.30296897108888,-0.713349867469302,1.1194745321505,2.38876275437271,0.355453755191188,2,"Opportunistic"
"Abbottina_rivularis",2,0.254490044131162,0.457948803941696,0.28758898258327,0,8.85202121992496,-1.20397276432594,2.19722457733622,2.9391619220656,0.349531679667142,2,"Periodic"
"Ablennes_hians",2,0.439466052345514,0.484386374713569,0.0761659524177447,0.796524059160013,6.49223983502047,-0.494296298863961,2.22084770701405,4.9416424226093,1.10914730499505,1,"Periodic"
"Aborichthys_boutanensis",2,0.243701947377845,0.423414007697296,0.332904578648936,0.531766597605705,6.92424163509316,-1.46967595266764,1.38122658485638,2.54709870606637,0.703439731561989,1,"Periodic"
"Aborichthys_elongatus",3,0.165164219579956,0.39852421117977,0.436333248093341,0.41682840790715,6.62321027797227,-1.13943430506337,1.30301075987793,2.20055233786079,0.476884278815809,1,"Opportunistic"
"Aborichthys_garoensis",2,0.237693663248741,0.411714595289411,0.350610875469712,0.538452927690292,6.93562741202375,-1.30933327924302,1.38250785384091,2.39059597764277,0.703729116364151,1,"Periodic"
"Aborichthys_kempi",3,0.168130578091043,0.412962896548329,0.418930154314838,0.44988175412039,6.72360933300182,-1.23787438358782,1.32719306504717,2.29051252329824,0.487820600155968,1,"Opportunistic"
"Aborichthys_tikaderi",2,0.244472966826696,0.427067866622051,0.328480201559805,0.534679654210472,6.91697758746558,-1.51412773717523,1.37968005801567,2.58776404951342,0.700560282993369,1,"Periodic"
"Abramis_brama",2,0.0195077890096525,0.94079551733381,0.0398072776876369,1.38629436111989,12.6072513179851,-2.04022086698809,3.13549421592915,4.40671924726425,0.581987226733835,1,"Periodic"
"Abramites_eques",2,0.29287604758532,0.470745215063573,0.2364058982762,0.542064758894049,8.9300794370391,-0.843970054015459,2.04749493797682,3.1166215770944,0.505975716756889,2,"Periodic"
"Abramites_hypselonotus",2,0.27816270591077,0.440241969519014,0.28161876053681,0.57118298182359,8.98605187696402,-0.400477541223991,2.0968326789885,2.63905732961526,0.514000220198205,2,"Periodic"
"Abudefduf_sordidus",2,0.112955744262391,0.59073613033412,0.296364093591859,0.533979981849308,9.49546932123089,-1.20397276432594,2.3696487102663,3.17805383034795,0.0172019632048778,2,"Periodic"
"Abyssocottus_elochini",1,0.400244472263704,0.252566186537675,0.347177610256901,0.391771028069688,6.22522125589389,-0.713349867469302,1.34912252478427,2.04122030405444,0.559836905772786,2,"Equilibrium"
"Abyssocottus_gibbosus",2,0.157424601869489,0.593815612519295,0.248810608585969,1.27580285162057,7.89918521085462,-1.27296567224146,2.26415894021405,2.63905732961526,0.540750454739,1,"Periodic"
"Abyssocottus_korotneffi",2,0.161460163247483,0.632779014866711,0.205817063661896,1.6094379124341,7.81372845101881,-1.30933327924302,2.484906649788,2.60268968544438,0.530422095107609,1,"Periodic"
"Acantharchus_pomotis",2,0.137623376355805,0.54497598130114,0.317448232538516,0.693147180559945,9.06797003068446,-0.916290716874155,2.07944154167984,3.04452243772342,0.0794459604245401,2,"Periodic"
"Acanthicus_adonis",1,0.551266347119861,0.303301305792777,0.145419187204048,0.483541826028147,5.92330503809947,-1.38629436111989,1.62712039125399,3.22406231812932,0.844570092265337,2,"Equilibrium"
"Acanthicus_hystrix",1,0.570638707111203,0.422693615811052,0.00667110918904907,0.649594511660509,6.49169304343598,-2.20727492228063,1.87833898289481,4.16914282890106,0.871326635682863,2,"Equilibrium"
"Acanthobrama_lissneri",2,0.0863898917615223,0.645208060031682,0.268465414309087,0.586591864745933,8.63069113900472,-0.776528772107692,3.2188758248682,3.13549421592915,0.356938535795346,1,"Periodic"
"Acanthobrama_marmid",3,0.0771072683010702,0.428743333822217,0.494181437584334,0.183278572042076,6.92165818415113,-0.116533831986289,1.38629436111989,3.36729582998647,0.266843309322216,1,"Opportunistic"
"Acanthobrama_microlepis",2,0.0746849513156976,0.735131623967089,0.190260740357132,0.693147180559945,8.42260774892637,-2.30258508299405,3.29783666802962,3.2188758248682,0.197917223863397,1,"Periodic"
"Acanthobrama_persidis",2,0.027678011268829,0.531603607180956,0.440768080417051,0.535503175755147,8.60477017791865,-0.776528772107692,1.76628155594896,2.47063867122783,0.321506213006299,1,"Periodic"
"Acanthobrama_telavivensis",2,0.0249912667095042,0.530537303867349,0.44452111104857,0.557686442230093,8.65470928401856,-0.693147180559945,1.79927052399948,2.39789527279837,0.326256755097284,1,"Periodic"
"Acanthobrama_tricolor",2,0.0692995555628731,0.586784308396383,0.343971549593567,0.639191604918176,8.65283139083894,-1.23787438358782,1.99549050624611,2.97399776556741,0.383539246945412,1,"Periodic"
"Acanthobrama_urmianus",2,0.0463777618477533,0.594965810814325,0.358714525401906,0.622132797015049,8.75623726600571,-1.04982214164153,1.94591014905531,3.2188758248682,0.336224230870329,1,"Periodic"
"Acanthobunocephalus_nicoi",1,0.558450215222895,0.117816836656559,0.323693738987973,0.447367301083943,7.69861438874498,0.607046724010831,1.7041634413634,0.875468776937233,0.740800360989217,3,"Equilibrium"
"Acanthocharax_microlepis",3,0.0162972141023904,0.353842199081723,0.629885169195613,-0.145524075373491,6.29626991340302,-0.235722306938792,1.18042373765762,2.33891701163391,0.0547354473259277,1,"Opportunistic"
"Acanthocleithron_chapini",3,0.0791326298485407,0.366815577347736,0.554073966484975,0.446107450011854,7.58643455685505,0.53649339273679,1.38117499097734,1.90359895664678,0.463923776213997,1,"Opportunistic"
"Acanthocobitis_botia",3,0.251937524049582,0.350646739583714,0.397425629047463,-0.105360515657826,4.92362391710663,-1.6094378974341,1.6094379124341,2.69934575307462,0.420271407197839,1,"Opportunistic"
"Acanthocobitis_mooreh",3,0.169326380627278,0.286898788201554,0.543779907077535,0.150378047246834,5.62396143494029,-0.235722306938792,1.33064357162538,1.68082788729172,0.425495653219955,1,"Opportunistic"
"Acanthocobitis_pavonacea",3,0.19229077883837,0.344177690596143,0.463543679292805,0.226675608649223,5.72327595809391,-1.20397276432594,1.09286015213878,2.27829242388812,0.441570408012648,1,"Opportunistic"
"Acanthocobitis_rubidipinnis",3,0.191526740973565,0.340501262932633,0.467983653216028,0.235121565225931,5.75469236015195,-1.07880964960722,1.08511231402371,2.30258509299405,0.450739413167719,1,"Opportunistic"
"Acanthocobitis_urophthalmus",3,0.166822083414733,0.266198142338944,0.566981796700448,0.177196929962152,5.55815035812263,-0.385662470517867,1.09861228866811,1.38629436111989,0.430823651762746,1,"Opportunistic"
"Acanthodoras_cataphractus",2,0.192912428676055,0.485372723657909,0.321747653198562,0.748403201191325,8.41656503601254,-0.0725706853079538,2.15221026995561,2.64119787486989,0.779404551149848,1,"Periodic"
"Acanthodoras_depressus",3,0.22614449376102,0.327360291548326,0.4465028182932,0.33584125759581,6.64686196694348,0.246860055275276,1.57818143381114,2.29051252329824,0.71096460531153,1,"Opportunistic"
"Acanthodoras_spinosissimus",3,0.240340699441016,0.370785872834583,0.388886691365347,0.337095194685396,6.71358526365031,-0.235722306938792,1.57717409266724,2.81600728755045,0.710212133450802,1,"Opportunistic"
"Acanthogobio_guentheri",2,0.0959989504899977,0.545037405736958,0.359011347627127,0.459305116830782,8.16496949794653,-1.46967595266764,1.6021662490577,3.19458311672539,0.399250885090913,1,"Periodic"
"Acanthogobius_flavimanus",2,0.0484560438833927,0.57973462499322,0.371867860493043,0,9.85219425814858,-1.17118297505133,2.25489715286745,3.40119738166216,-0.129633202734814,2,"Periodic"
"Acanthogobius_hasta",2,0,0.512809652471598,0.487245849180733,0.00850518217816612,10.6653792404099,-1.83258148874831,0,3.91202300542815,-0.156187482535643,2,"Periodic"
"Acanthogobius_lactipes",3,0.0995492291779338,0.286017342797613,0.614445175684829,0,6.81069356613901,-0.261364788809733,0.693147180559945,2.24070964874404,-0.162517093028873,2,"Opportunistic"
