"species","archetype","Archetype_1","Archetype_2","Archetype_3","Life.span","Fecundity","Parental.care","Age.at.maturation","Offspring.size","Max.total.length","Trophic.level","K.value","strategies"
"Aaptosyax_grypus",3,0.0230245758459388,0.19301669498491,0.78402839851377,1.93178164005969,9.09677566097731,1,0.715451114234345,0.480577184789689,5.06638534766229,4.5,-2.65926003693278,"Periodic"
"Abactochromis_labrosus",1,0.680062451847201,0.0968433948300037,0.222467339684437,1.70747797906805,5.3817744528986,3,0.0628152540403763,0.729517646191126,2.64119787486989,3.359999895,-0.186329598673421,"Equilibrium"
"Abantennarius_coccineus",3,0,0.465462190582554,0.53446920462851,1.4228741340488,9.53075955723277,1,0.576069296101008,0.44166983800923,2.56494935746154,4.199999809,-0.857864064968335,"Periodic"
"Abantennarius_sanguineus",2,0.00209631541246099,0.534859035259535,0.462927748802165,1.17650204193611,8.79810464401296,1,0.383073858017174,0.378832777714324,2.30258509299405,4.03000021,-0.666541419693165,"Opportunistic"
"Abbottina_liaoningensis",2,0.142244632910288,0.519730839118758,0.337755151909019,1.06331383488227,7.12258308291143,1,0.203674867596666,0.320471718339272,2.08567211515718,3.180000067,-0.430782953015532,"Opportunistic"
"Abbottina_obtusirostris",2,0.15478076041996,0.489026484347129,0.35592833306858,1.1194745321505,7.30296897108888,1,0,0.355453755191188,2.38876275437271,3.220000029,-0.713349867469302,"Opportunistic"
"Abbottina_rivularis",3,0.293410260974483,0.241040453993269,0.46528130684648,2.19722457733622,8.85202121992496,2,0,0.349531679667142,2.9391619220656,3.289999962,-1.20397276432594,"Periodic"
"Ablennes_hians",3,0.302423631974867,0.0973343689583352,0.600041958941921,2.22084770701405,6.49223983502047,1,0.796524059160013,1.10914730499505,4.9416424226093,4.21999979,-0.494296298863961,"Periodic"
"Aborichthys_boutanensis",3,0.292840703640381,0.288225880275383,0.418630440973041,1.43515879538837,6.93773715288129,1,0.476713439908909,0.554643824757327,2.54709870606637,2.710000038,-1.46967595266764,"Periodic"
"Aborichthys_elongatus",3,0.266986950740107,0.361628697617475,0.371066171629532,1.30301075987793,6.62321027797227,1,0.41682840790715,0.476884278815809,2.20055233786079,2.75999999,-1.13943430506337,"Periodic"
"Aborichthys_garoensis",3,0.290372795370949,0.310825510134954,0.398487486666359,1.38832896790304,6.84914876693037,1,0.463263105371023,0.557118779861113,2.39059597764277,2.730000019,-1.30933327924302,"Periodic"
"Aborichthys_kempi",3,0.26951562832537,0.344371724097609,0.385802190182333,1.32719306504717,6.72360933300182,1,0.44988175412039,0.487820600155968,2.29051252329824,2.75,-1.23787438358782,"Periodic"
"Aborichthys_tikaderi",3,0.294260395274598,0.28183184681101,0.423607125367044,1.44663368200659,6.95767979572083,1,0.479934873283088,0.55420784620002,2.58776404951342,2.700000048,-1.51412773717523,"Periodic"
"Abramis_brama",3,0.0716087067431436,0.0462097716291586,0.882285571463545,3.13549421592915,12.6072513179851,1,1.38629436111989,0.581987226733835,4.40671924726425,3.049999952,-2.04022086698809,"Periodic"
"Abramites_eques",3,0.41732910623057,0.135094123044277,0.447230726370142,2.04749493797682,8.9300794370391,2,0.542064758894049,0.505975716756889,3.1166215770944,2.410000086,-0.843970054015459,"Periodic"
"Abramites_hypselonotus",3,0.346309793710342,0.216331028672277,0.437043867255581,2.0968326789885,8.98605187696402,2,0.57118298182359,0.514000220198205,2.63905732961526,2.930000067,-0.400477541223991,"Periodic"
"Abudefduf_bengalensis",3,0.188779096767954,0.312172812758824,0.498858834552347,2.26285316101468,9.18729821795694,2,0.432076693900895,0.0190985922667672,2.83321334405622,3.079999924,-0.891598129039881,"Periodic"
"Abudefduf_concolor",3,0.236166967253583,0.287938673291073,0.47566613073871,2.17846331997277,8.9829754710397,2,0.384278382109149,-0.0112147124668207,2.94443897916644,2.680000067,-0.994252259830353,"Periodic"
"Abudefduf_declivifrons",3,0.234713031068412,0.271542271348796,0.493528360353099,2.21118745999647,9.03873174001836,2,0.379615294702459,-0.0114767375293312,3.08922257474698,2.710000038,-1.13943430506337,"Periodic"
"Abudefduf_saxatilis",3,0.129892414981855,0.367253111350796,0.502699337759863,1.97711389499961,8.47365007905228,2,0.184177994213854,-0.0151577199999278,3.13113689396631,3.819999933,-1.17118297505133,"Periodic"
"Abudefduf_sordidus",3,0.228319558569373,0.237360597655662,0.534131718300795,2.3696487102663,9.49546932123089,2,0.533979981849308,0.0172019632048778,3.17805383034795,2.690000057,-1.20397276432594,"Periodic"
